fly_id,Genotype,Sex,Treatment,Mesor_mean_Z,Mesor_sd_Z,Amp_mean_Z,Amp_sd_Z,Phase_mean_Z,Phase_sd_Z,total_sleep_mean_Z,day_sleep_mean_Z,night_sleep_mean_Z,total_bouts_mean_Z,day_bouts_mean_Z,night_bouts_mean_Z,mean_bout_mean_Z,max_bout_mean_Z,mean_day_bout_mean_Z,max_day_bout_mean_Z,mean_night_bout_mean_Z,max_night_bout_mean_Z,frag_bouts_per_hour_mean_Z,frag_bouts_per_min_sleep_mean_Z,mean_wake_bout_mean_Z,P_wake_mean_Z,P_doze_mean_Z,sleep_latency_mean_Z,WASO_mean_Z
5-1,SSS,Female,2mM His,-0.5898663923055495,-0.6554889097663764,0.013481212681291975,-0.3488692548641401,0.746172683318098,-1.1556587051454672,1.5401415965867096,0.31734177756465765,1.592575367067095,0.25747270389585597,-0.5028904589248034,0.4587842825674171,1.6977459218212807,1.2920460518327828,0.2651896759136765,-0.14998792906766287,1.403328558748119,1.3114185155074427,0.2488408022059691,-1.7057675106349106,-0.8421019345020055,-1.7051781926826233,0.3450003411242313,-0.9788980966535755,-1.121687791821223
5-2,SSS,Female,8mM His,-0.5935760388435372,-0.5837395169173026,0.2441835007664231,-0.5560438429449852,0.5756586716832169,-1.1309934825646677,1.9526017211519564,0.2688185699859639,2.0360238340420636,-0.04331316514135899,0.0818658886621774,-0.07634512944745528,3.274997050363735,2.855895794188394,0.6874994166359826,0.1427554456912659,2.9633199111055313,2.879102331521334,-0.025100015172345964,-1.8110751163020808,-0.7768526965874016,-1.8067435195478305,0.15516689687211335,-0.9788980966535755,-1.6685345623496173
5-3,SSS,Female,VEH,-0.5780135220344589,-0.6173416001163515,0.19104975533137833,-0.543118107753462,0.7015006596352336,-1.1773299477878436,1.713452306204501,-0.29728551843213086,1.8543331427120413,0.10707976937724849,-0.5028904589248034,0.280407811895793,2.4155264058131767,2.11681612143129,0.5896471596393508,-0.04666673797627625,1.9804610362823636,2.1382106650490154,0.10322039601070324,-1.7643694639006957,-0.8014932360937684,-1.7686445271053286,0.23162675195095714,-0.9788980966535755,-1.444479288313678
5-4,Rye,Female,2mM His,-0.2501432925475243,-0.5879317780375203,0.2056539891208125,0.004711770159678301,0.63315162170494,-1.1262025646930507,0.36182241443669644,-0.5965119651674095,0.4593181736866192,0.5281799860293495,-0.7367929979595959,0.8512125180449901,0.17784032582393222,0.1057696205596052,-0.1056188769156656,-0.2533091201590495,0.049475800627272276,0.12223370301745316,0.5397908583778074,-0.9147817387185608,-0.8373983393614037,-0.9276357570436757,0.33076270764640175,-0.9440067093870489,0.24669498350561594
5-5,Rye,Female,8mM His,-0.48880022295072034,-0.2713506996392096,-0.8069622381665795,-0.649529659866744,1.0516394914018858,-0.9895986311787928,-0.5376504863170932,-0.5803375626411782,-0.49635433268767687,-0.16362751275624493,-0.7367929979595959,0.030680752955519138,-0.41497137732187894,-0.5128079316392752,0.2651896759136765,-0.14998792906766287,-0.4325205639801141,-0.4978604091387265,-0.10699635010412607,-0.012613044878668545,-0.1787520880992331,0.003366691071240858,-0.2763060589076903,0.8491071927448884,-0.07103311696342798
5-6,Rye,Female,VEH,-0.06377303711381334,-0.08266595621006337,-0.6043891920350948,-0.18238209980220774,-1.2103519999764127,1.6020977449532028,-0.7216115747382127,-0.6450351727461032,-0.6831775294225017,-0.6749634901195103,-0.853744267476992,-0.5401239531936779,-0.5826878842003844,-0.6118874529871478,-1.2180445354036917,-0.5632726934332094,-0.5694518976125365,-0.5971828426875517,-0.665539046212822,0.8347566876464868,-0.2358121565518953,0.8426250817032133,-0.7649233856875862,0.613969582905252,0.355557998008954
5-7,Fmn,Female,2mM His,-0.7817078058977363,-0.6798864678678167,-0.7985917990682111,-0.6406172414079913,-0.8345791519007326,1.0232278329996027,-0.6673914644667249,-0.2002391032747432,-0.6821510283415411,-0.40425620798601686,0.0818658886621774,-0.5044486590593532,-0.5965802061380683,-0.6118874529871478,-0.033517213865515684,-0.1844283260981251,-0.5886197093215975,-0.6079204030712085,-0.40918898006541626,0.9690962145061662,-0.46883527604774133,0.9756786600680367,-0.5535140876926193,0.45468281494936924,0.48720629461764126
5-8,Fmn,Female,8mM His,-0.762671913329348,-0.4449548629739434,-0.6466419462907477,-0.4693739953121711,0.8838319293701249,-0.7774101150035942,-0.3565940466605177,-0.2002391032747432,-0.35264418135319625,1.039515963392615,0.31576842769696967,1.136614871119589,-0.5632671671398739,-0.5502974802573891,-0.19832101512300113,-0.2016485246133562,-0.5517324168805497,-0.5354418704815251,1.0464335694498546,0.7047915589330223,-0.8145805914674181,0.6726074150081368,0.5849717914422206,-0.45856132133102523,0.8429098652622685
5-9,Fmn,Female,VEH,-0.49207550364648495,-0.3801048175557379,-0.5858659549898154,-0.6015228438048477,1.0376791423468557,-0.9490636244112503,-0.45922496967440546,-0.32154712222147774,-0.44605577972060867,0.10707976937724849,-0.15203665037261502,0.17338192949281855,-0.5275546550868085,-0.5663644296651522,0.017983974027448477,0.2116362397521903,-0.518915620726691,-0.5515482110570105,0.10322039601070324,0.4888537629886858,-0.2915600534908923,0.4869322754843479,-0.06737145951318049,0.2514025587009093,0.3656847900557759
5-10,Iso,Female,2mM His,-0.6359638003709254,-0.5512682343684364,-0.7239947947362179,-0.5487223538812419,-1.540526238958613,1.3463267540693054,-0.8223060652424046,-0.5884247639042938,-0.7971191494091256,-1.1261422936753327,-0.7367929979595959,-1.110928659342875,-0.60616127155658,-0.626615489944264,0.07978539949900543,-0.2016485246133562,-0.5941565955755999,-0.6119469882150799,-1.1197002598108352,1.0125628566911247,1.5910184771267568,1.0187292232001592,-1.0737732806513673,-0.504830334880115,0.9625325963153546
