fly_id,Genotype,Sex,Treatment,Mesor_mean,Mesor_sd,Amp_mean,Amp_sd,Phase_mean,Phase_sd,rhythmic_days,total_sleep_mean,day_sleep_mean,night_sleep_mean,total_bouts_mean,day_bouts_mean,night_bouts_mean,mean_bout_mean,max_bout_mean,mean_day_bout_mean,max_day_bout_mean,mean_night_bout_mean,max_night_bout_mean,frag_bouts_per_hour_mean,frag_bouts_per_min_sleep_mean,mean_wake_bout_mean,P_wake_mean,P_doze_mean,sleep_latency_mean,WASO_mean,n_days
5-1,SSS,Female,2mM His,1075.5169449802809,125.00045894762688,973.2420965459332,247.8569793406995,19.408701992090336,0.576460697969677,5,496.6,23.8,472.8,10.6,0.6,10.0,47.13757575757576,150.8,8.0,8.0,49.89242424242424,150.8,0.4548668885191348,0.02160629396609632,93.55930735930735,0.019942933556942388,0.010695792403051447,0.0,205.2,5
5-2,SSS,Female,8mM His,1069.3559894398693,190.36576645977632,1200.0513461237385,116.75713389340346,18.584645547554818,0.6713090840082806,5,581.8,22.6,559.2,8.6,1.6,7.0,75.21471861471862,267.6,10.277777777777777,13.666666666666666,84.17142857142858,267.6,0.376483638380477,0.016115815195209503,117.32571428571427,0.01459638883310042,0.009408135673747707,0.0,118.8,5
5-3,SSS,Female,VEH,1095.2021106742795,159.75351436762475,1147.8142182243669,124.93652453005873,19.1928119977529,0.4931254521048999,5,532.4,8.6,523.8,9.6,0.6,9.0,59.915011655011654,212.4,9.75,10.0,62.57424242424243,212.4,0.4132002218524681,0.018550932690907886,108.35063492063492,0.01660197453162813,0.009926769507220792,0.0,154.2,5
5-4,Rye,Female,2mM His,1639.726740233545,186.54652247159825,1162.172009531656,471.60265279960055,18.86249623868868,0.6897322231580606,5,253.2,1.2,252.0,12.4,0.2,12.2,20.081258741258743,62.2,6.0,6.0,20.143076923076926,62.2,0.5381170271769273,0.06284634079145238,95.27254662004661,0.060873884454641716,0.01059921729938988,4.6,421.4,5
5-5,Rye,Female,8mM His,1243.3669462293433,474.9589914880605,166.64340629296146,57.59941448635833,20.884955405986595,1.2150330826134341,1,67.4,1.6,65.8,7.8,0.2,7.6,9.528431372549019,16.0,8.0,8.0,9.551764705882352,16.0,0.3530504714364947,0.10988319088319087,335.1781045751634,0.10988319088319087,0.006481417164207637,241.0,371.2,5
5-6,Rye,Female,VEH,1949.2491828771247,646.855028337331,365.798087241847,353.2098631078055,9.953251623507025,11.18121999104105,3,29.4,0.0,29.4,4.4,0.0,4.4,6.542857142857143,8.6,,,6.542857142857143,8.6,0.19323349972268442,0.15406295831827746,314.3945238095238,0.15406295831827746,0.003167083426223516,210.0,438.6,5
5-7,Fmn,Female,2mM His,756.9080403722643,102.77373584209795,174.87259650297406,63.239182825360295,11.769278553899678,8.955216285003228,2,40.6,11.0,29.6,6.2,1.6,4.6,6.295555555555556,8.6,6.388888888888889,7.333333333333333,6.121666666666667,7.8,0.26658347199112586,0.1610670898398432,229.51809523809524,0.1610670898398432,0.004601091044180726,189.0,459.4,5
5-8,Fmn,Female,8mM His,788.5227202575103,316.80170163287835,324.25833674841573,171.60171562930978,20.07397863282751,2.030989161226341,4,104.8,11.0,93.8,15.8,2.0,13.8,6.888571428571429,13.2,5.5,7.0,6.932222222222222,13.2,0.683083749306711,0.14728689712463378,103.58369168356998,0.1451129840811555,0.012323539579320072,68.6,515.6,5
5-9,Fmn,Female,VEH,1237.9273825020884,375.8815487593141,384.00874968851195,87.97807349291284,20.817488131617402,1.3709076123230561,5,83.6,8.0,75.6,9.6,1.2,8.4,7.524301075268818,12.0,6.666666666666667,15.0,7.653333333333333,12.0,0.4132002218524681,0.13602843315184512,294.08888888888885,0.13533877797943134,0.007898638686761914,162.2,440.2,5
5-10,Iso,Female,2mM His,998.9586856661599,219.9478337754572,248.21079662974654,121.39016390732714,8.357592669476327,10.197670558176144,4,8.6,1.4,7.2,1.4,0.2,1.2,6.125,7.5,7.0,7.0,6.0,7.5,0.06328341652800887,0.16333333333333333,979.8,0.16333333333333333,0.0010721277814917391,62.5,534.5,5
5-11,Iso,Female,8mM His,1237.1398551243715,58.0424333307307,190.54713083636392,93.30212209490621,6.629805930299632,3.5485342315761352,4,3.8,1.4,2.4,0.6,0.2,0.4,6.333333333333333,7.0,7.0,7.0,6.0,7.0,0.025,0.15789473684210525,1175.45,0.15789473684210525,0.000422237860661506,12.0,696.0,5
5-12,Iso,Female,VEH,1108.4017912004003,185.89289920600288,189.23945085603134,73.16415284864506,16.715219979583747,8.412642352745975,3,15.6,2.0,13.6,2.2,0.4,1.8,8.0,9.666666666666666,5.0,5.0,8.166666666666666,9.666666666666666,0.09166666666666666,0.13055555555555556,767.8342857142857,0.13055555555555556,0.001562742812742813,415.6666666666667,281.6666666666667,5
5-13,SSS,Female,2mM His,871.4737967409598,77.6396356779515,806.1405242838656,57.95840135764885,19.246930328949862,0.4329901101348721,5,523.0,17.2,505.8,12.8,1.0,11.8,48.34791208791209,159.0,6.375,6.5,56.99788638262322,159.0,0.5564337215751525,0.026596405913293958,78.28714285714287,0.02515762121075214,0.01378947107912062,6.4,165.8,5
5-14,SSS,Female,8mM His,652.5607722501256,144.7345859907713,721.618134138143,114.06733461007941,19.70744735587133,0.43136780035772676,5,631.2,43.6,587.6,11.2,3.8,7.4,56.80846153846154,241.8,8.093333333333334,12.2,87.107683982684,241.8,0.48151691625069326,0.01786827562161467,75.86489898989899,0.016255814607872503,0.01338586385607706,0.0,90.4,5
5-15,SSS,Female,VEH,967.2807860207444,173.4880112213127,901.929289148385,215.5172144182415,19.365355877291357,0.48272647475707947,5,540.8,21.6,519.2,10.2,0.6,9.6,61.68888888888889,217.2,18.333333333333332,18.333333333333332,63.52131313131313,217.2,0.43985024958402663,0.019052082845688104,111.87424242424242,0.01717308450932695,0.010776358375090302,0.0,158.8,5
5-16,Rye,Female,2mM His,1921.9845384247176,870.9980860933183,272.78207955512096,317.1193040581541,13.222011136416182,10.517252258215445,1,28.8,8.6,20.2,3.6,1.4,2.2,8.625,12.5,8.35,12.0,11.25,12.5,0.15660011092623405,0.13876446435237028,527.5233333333333,0.13876446435237028,0.0026945576283940757,194.0,448.25,5
5-17,Rye,Female,8mM His,1467.6744863368922,689.4056092776559,388.1066066940994,193.8542118347712,17.37593315352063,7.784155010730472,4,70.4,1.0,69.4,9.2,0.2,9.0,6.706354515050167,10.8,5.0,5.0,7.132943143812709,12.25,0.404783693843594,0.15652843273231623,344.27777777777777,0.15652843273231623,0.007285584291001815,234.75,346.0,5
5-19,Fmn,Female,2mM His,570.9198297390933,115.5599803566875,242.59367006801804,79.6880551538505,16.97812392982726,9.350145552181914,4,192.8,33.0,159.8,24.0,4.0,20.0,7.938206349206349,22.6,7.626666666666667,12.8,7.834025032938077,20.4,1.041250693288963,0.12835488377926477,50.78843101343101,0.12493228938772857,0.020332467960031374,21.6,496.6,5
5-20,Fmn,Female,8mM His,1044.1606811621934,320.5477298489238,161.29412681471862,34.512926411037576,4.8556692026313275,7.709009086642176,1,13.6,11.2,2.4,2.2,1.8,0.4,6.041666666666667,7.25,6.305555555555556,8.0,6.0,6.0,0.09661674986134221,0.16762820512820514,632.7333333333333,0.16762820512820514,0.00163651523282674,76.5,637.5,5
5-21,Fmn,Female,VEH,1015.7420461633546,432.90491318292584,228.52811332804998,38.088884457026346,19.606395971113972,2.0255635534979435,4,69.6,17.0,52.6,8.6,2.0,6.6,6.656896551724138,9.6,8.5,17.0,6.713157894736843,9.6,0.3715335551858014,0.15413740458015265,376.8933333333333,0.15413740458015265,0.007156399989078173,115.2,510.2,5
5-22,Iso,Female,2mM His,1395.3038182124294,62.775288223918245,209.63400477514705,104.98984591328768,16.47878591194747,9.401218547312057,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1392.4,,0.0,,,5
5-23,Iso,Female,8mM His,1128.416223540418,129.20103627328538,260.1638421505142,120.94397811723316,7.751673233406274,9.892530571908111,1,33.6,1.0,32.6,3.8,0.2,3.6,8.069444444444445,14.5,5.0,5.0,8.208333333333334,14.5,0.15833333333333333,0.12996084797555385,497.24285714285713,0.12996084797555385,0.0027562802088511654,208.25,471.0,5
5-24,Iso,Female,VEH,1359.1251334982755,446.3468903412041,289.6950408552173,173.92943127729166,10.19440100998756,11.425659235854292,3,10.6,0.0,10.6,1.2,0.0,1.2,7.25,8.0,,,7.25,8.0,0.05165002773155851,0.15416666666666667,764.7,0.15416666666666667,0.0008733748328551236,290.25,364.0,5
5-25,SSS,Female,2mM His,694.2521769397673,85.64795796154942,725.4988381576426,45.715079628472,19.52577684816648,0.5987049037758895,5,620.4,46.2,574.2,12.4,3.6,8.8,50.929761904761904,212.2,9.213333333333335,11.8,69.30909090909091,212.2,0.5298668885191348,0.019783853887055402,68.32841491841492,0.018474624224455095,0.015139099493765573,1.2,102.6,5
5-27,SSS,Female,VEH,1563.4030155611977,593.0872164079888,325.34120309009916,70.3618790109428,20.636877867585973,2.0561742487419497,4,24.8,0.8,24.0,3.6,0.0,3.6,6.4326923076923075,9.25,,,6.4326923076923075,9.25,0.15330005546311704,0.15740996592060422,625.1285714285715,0.15740996592060422,0.0026871809424332217,218.25,419.25,5
5-29,SSS,Female,8mM His,3527.1714962133765,1531.2219980093785,1396.1675425860606,771.8014736408118,12.31168337363552,6.800457074013823,2,41.8,0.0,41.8,4.6,0.0,4.6,7.991071428571429,14.5,,,7.991071428571429,14.5,0.19166666666666668,0.13180147257863678,514.4884615384615,0.12648232364246656,0.003401984065116448,204.5,463.25,5
5-30,SSS,Female,VEH,705.2602925837194,197.5686442088008,252.47639261096683,88.21468695615297,20.34442353260997,0.8612840285523703,3,182.6,27.4,155.2,21.2,3.8,17.4,7.945128205128205,17.0,7.130303030303031,10.0,8.213198757763974,16.8,0.9262340543538545,0.1319254556945014,93.79999352499352,0.1311591721695972,0.01918028381072967,47.8,475.0,5
6-1,SSS,Female,2mM His,4156.480962224241,958.3381689453552,3427.128899091645,2044.3739702125386,18.89415529247682,1.5917214001418507,4,275.2,14.0,261.2,13.8,1.4,12.4,18.257142857142856,91.8,9.0,11.0,19.151372549019605,91.8,0.5898502495840267,0.07339097080776517,113.01194444444445,0.072224977692962,0.012826084379200225,79.2,337.6,5
