Genotype,Mesor_mean_Z,Mesor_sd_Z,Amp_mean_Z,Amp_sd_Z,Phase_mean_Z,Phase_sd_Z,total_sleep_mean_Z,day_sleep_mean_Z,night_sleep_mean_Z,total_bouts_mean_Z,day_bouts_mean_Z,night_bouts_mean_Z,mean_bout_mean_Z,max_bout_mean_Z,mean_day_bout_mean_Z,max_day_bout_mean_Z,mean_night_bout_mean_Z,max_night_bout_mean_Z,frag_bouts_per_hour_mean_Z,frag_bouts_per_min_sleep_mean_Z,mean_wake_bout_mean_Z,P_wake_mean_Z,P_doze_mean_Z,sleep_latency_mean_Z,WASO_mean_Z
Fmn,0.5998943585453436,0.6777457562503629,0.525498896030528,0.09194626587863394,0.5976187031534224,-0.036981976617252,-0.4555941587187254,-0.23460970864298467,-0.45324128728733265,0.15219764973283076,-0.005847563475869816,0.1823007530263997,-0.5128316071767846,-0.5429334617788311,0.021460304210223494,0.024366580899052057,-0.502949788535345,-0.5280597977177612,0.14834818412030093,0.4597637437733053,-0.40021277912827724,0.4679464627512111,-0.06557290455158138,0.003749559950453521,0.5811955833022091
Iso,-0.4262830489486455,-0.518484467935886,-0.7558449251081711,-0.5788489955000405,-0.5382519233867299,1.3918068667110066,-0.8200468939810927,-0.6180778352023845,-0.7909601429233621,-1.1562208805790541,-0.7757767544653945,-1.1347121887657583,-0.5710515041434671,-0.6258716496939046,-0.9090374080459066,-0.4771717008570539,-0.5574968464052645,-0.6112013242995481,-1.1642021143940804,0.9788201926956367,1.4455415476689752,0.9853095566797387,-1.1052679327556236,0.8539532187541282,0.410130155150162
Rye,-0.06406574267279934,-0.16911984794168244,-0.552869003280294,-0.3643303015742822,-0.27233699904982756,1.286559172262378,-0.6844966183023727,-0.3619831285370559,-0.679755859152633,-0.7752254464652486,-0.4639067024190047,-0.7779592474225101,-0.3894466966140526,-0.5253044478453132,-0.5911034081200077,-0.32218991421997395,-0.4036342538282906,-0.5126245546662546,-0.770308203681762,0.10544649393398138,0.14922341895203192,0.12029611955978563,-0.8217980556564085,0.941645219843068,0.1374100193336608
SSS,0.3737586448471439,0.789840060881995,0.46415723470624176,0.5175289889415454,0.48913929955676266,-0.6259122331337421,0.516737015212376,0.698595551397252,0.45917153067505334,0.4207564613732012,0.09857321287894824,0.46897722374865275,0.5235905210115149,0.5717111533847358,1.0371857939632494,0.8881440385648408,0.34153952994604403,0.4830924287682046,0.430009617519974,-0.5453226291805076,-0.4314628411975295,-0.5453425522342311,0.6340035868044084,-0.2203896778160386,-0.410823157248763
