cluster,Genotype,count,percent
-1,Rye,1,33.333333333333336
-1,SSS,2,66.66666666666667
0,Fmn,4,28.571428571428573
0,Iso,3,21.428571428571427
0,Rye,2,14.285714285714286
0,SSS,5,35.714285714285715
